"GeneName" "ImmunePathway"
"444" "BST2" "Antimicrobials"
"445" "BPHL" "Antimicrobials"
"446" "PLA2G2A" "Antimicrobials"
"447" "GRN" "Antimicrobials"
"448" "NEWENTRY" "Antimicrobials"
"449" "PDGFRA" "Antimicrobials"
"450" "GNAI1" "Antimicrobials"
"451" "WNT5A" "Antimicrobials"
"452" "FURIN" "Antimicrobials"
"453" "ADAR" "Antimicrobials"
"454" "TYK2" "Antimicrobials"
"455" "NOS2" "Antimicrobials"
"456" "TRAF3" "Antimicrobials"
"457" "TPT1" "Antimicrobials"
"458" "TPM2" "Antimicrobials"
"459" "NEO1" "Antimicrobials"
"460" "AHNAK" "Antimicrobials"
"461" "TLR1" "Antimicrobials"
"462" "TK2" "Antimicrobials"
"463" "PRDX2" "Antimicrobials"
"464" "MX2" "Antimicrobials"
"465" "FGF2" "Antimicrobials"
"466" "FGA" "Antimicrobials"
"467" "TCF7L2" "Antimicrobials"
"468" "F2RL1" "Antimicrobials"
"469" "TKFC" "Antimicrobials"
"470" "MSR1" "Antimicrobials"
"471" "NFKBIZ" "Antimicrobials"
"472" "LMBR1" "Antimicrobials"
"473" "EPPIN" "Antimicrobials"
"474" "SRC" "Antimicrobials"
"475" "MPO" "Antimicrobials"
"476" "ELAVL1" "Antimicrobials"
"477" "ROBO3" "Antimicrobials"
"478" "SP1" "Antimicrobials"
"479" "SOD1" "Antimicrobials"
"480" "PDF" "Antimicrobials"
"481" "DLL4" "Antimicrobials"
"482" "ECD" "Antimicrobials"
"483" "SLC11A1" "Antimicrobials"
"484" "DMBT1" "Antimicrobials"
"485" "STING1" "Antimicrobials"
"486" "SKIV2L" "Antimicrobials"
"487" "SEMG2" "Antimicrobials"
"488" "LTA" "Antimicrobials"
"489" "DES" "Antimicrobials"
"490" "DCK" "Antimicrobials"
"491" "DAXX" "Antimicrobials"
"492" "TNFRSF10A" "Antimicrobials"
"493" "TNFRSF10B" "Antimicrobials"
"494" "EED" "Antimicrobials"
